EVT_PHYS,EVT_NAME,Sum of ACRES
Agricultural,Eastern Cool Temperate Row Crop,"112,983,258"
Agricultural,Western Cool Temperate Row Crop,"76,649,344"
Agricultural,Eastern Cool Temperate Pasture and Hayland,"56,656,210"
Agricultural,Western Cool Temperate Wheat,"40,671,220"
Agricultural,Eastern Warm Temperate Row Crop,"20,189,834"
Agricultural,Western Cool Temperate Close Grown Crop,"18,407,627"
Agricultural,Western Cool Temperate Pasture and Hayland,"18,108,932"
Agricultural,Western Cool Temperate Fallow/Idle Cropland,"15,202,514"
Agricultural,Eastern Warm Temperate Pasture and Hayland,"13,444,265"
Agricultural,Eastern Cool Temperate Close Grown Crop,"10,487,489"
Agricultural,Western Warm Temperate Pasture and Hayland,"9,548,459"
Agricultural,Western Warm Temperate Row Crop,"7,704,313"
Agricultural,Eastern Cool Temperate Wheat,"6,490,895"
Agricultural,Western Warm Temperate Fallow/Idle Cropland,"3,672,153"
Agricultural,Eastern Warm Temperate Fallow/Idle Cropland,"3,170,402"
Agricultural,Western Warm Temperate Orchard,"2,747,248"
Agricultural,Western Warm Temperate Wheat,"2,042,519"
Agricultural,Eastern Cool Temperate Fallow/Idle Cropland,"1,957,452"
Agricultural,Western Warm Temperate Close Grown Crop,"1,838,937"
Agricultural,Eastern Warm Temperate Orchard,"1,198,204"
Agricultural,Western Warm Temperate Vineyard,"799,771"
Agricultural,Western Cool Temperate Orchard,"569,689"
Agricultural,Eastern Warm Temperate Close Grown Crop,"489,664"
Agricultural,Eastern Cool Temperate Orchard,"404,661"
Agricultural,Western Cool Temperate Vineyard,"291,986"
Agricultural,Eastern Cool Temperate Row Crop-Close Grown Crop,"243,620"
Agricultural,Western Cool Temperate Row Crop-Close Grown Crop,"237,322"
Agricultural,Eastern Warm Temperate Aquaculture,"207,537"
Agricultural,Agriculture-Cultivated Crops and Irrigated Agriculture,"140,738"
Agricultural,Eastern Cool Temperate Bush fruit and berries,"128,301"
Agricultural,Agriculture-Pasture and Hay,"111,897"
Agricultural,Eastern Cool Temperate Vineyard,"82,234"
Agricultural,Eastern Warm Temperate Wheat,"73,094"
Agricultural,Western Cool Temperate Bush fruit and berries,"45,520"
Agricultural,Western Warm Temperate Row Crop-Close Grown Crop,"36,184"
Agricultural,Sugar Cane,"34,138"
Agricultural,Eastern Warm Temperate Bush fruit and berries,"33,122"
Agricultural,Eastern Warm Temperate Row Crop-Close Grown Crop,"32,679"
Agricultural,Tropical Pacific Orchard,"25,201"
Agricultural,Western Warm Temperate Bush fruit and berries,"22,104"
Agricultural,Tropical Pacific Bush fruit and Berries,"11,032"
Agricultural,Western Warm Temperate Aquaculture,"8,006"
Agricultural,Eastern Cool Temperate Aquaculture,"1,631"
Agricultural,Eastern Warm Temperate Vineyard,"1,230"
Agricultural,Tropical Pacific Aquaculture,282
Conifer,Southeastern North American Temperate Forest Plantation,"43,330,424"
Conifer,Colorado Plateau Pinyon-Juniper Woodland,"18,457,412"
Conifer,Boreal Coniferous Woody Wetland,"18,245,179"
Conifer,Western North American Boreal White Spruce Forest,"17,335,806"
Conifer,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,"13,044,064"
Conifer,Southern Rocky Mountain Ponderosa Pine Woodland,"12,215,395"
Conifer,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,"11,864,870"
Conifer,Great Basin Pinyon-Juniper Woodland,"11,737,733"
Conifer,Western North American Boreal Mesic Black Spruce Forest,"11,321,700"
Conifer,Rocky Mountain Lodgepole Pine Forest,"10,423,964"
Conifer,Alaska Boreal White Spruce Forest,"7,693,880"
Conifer,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,"7,287,039"
Conifer,Madrean Pinyon-Juniper Woodland,"7,063,910"
Conifer,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,"6,936,626"
Conifer,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,"6,765,811"
Conifer,Alaskan Pacific Maritime Western Hemlock Forest,"6,200,000"
Conifer,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,"6,162,919"
Conifer,Boreal Shrub-Tussock Tundra,"5,762,595"
Conifer,Mediterranean California Mixed Evergreen Forest,"5,717,985"
Conifer,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"5,237,267"
Conifer,Mediterranean California Mesic Mixed Conifer Forest and Woodland,"5,234,710"
Conifer,Recently Logged-Tree Cover,"4,625,481"
Conifer,Acadian Low-Elevation Spruce-Fir Forest,"4,212,087"
Conifer,Northeastern North American Temperate Forest Plantation,"4,124,703"
Conifer,Boreal Black Spruce-Tussock Woodland,"4,111,505"
Conifer,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,"4,090,680"
Conifer,Southern Rocky Mountain Pinyon-Juniper Woodland,"3,767,184"
Conifer,Western North American Boreal Treeline White Spruce Woodland,"3,661,605"
Conifer,West Gulf Coastal Plain Pine Forest,"3,531,809"
Conifer,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,"3,518,007"
Conifer,North Pacific Mesic Western Hemlock-Silver Fir Forest,"3,485,446"
Conifer,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,"3,382,548"
Conifer,Columbia Plateau Western Juniper Woodland and Savanna,"3,276,691"
Conifer,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,"3,210,732"
Conifer,Laurentian-Acadian Pine-Hemlock Forest,"3,009,830"
Conifer,Alaskan Pacific Maritime Mountain Hemlock Forest,"2,944,100"
Conifer,Northern Rocky Mountain Subalpine Woodland and Parkland,"2,781,816"
Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,"2,575,387"
Conifer,Alaskan Pacific Maritime Sitka Spruce Forest,"2,410,620"
Conifer,Ozark-Ouachita Shortleaf Pine Forest and Woodland,"2,304,906"
Conifer,Laurentian Jack Pine-Red Pine Forest,"2,226,634"
Conifer,Southern Appalachian Low-Elevation Pine Forest,"2,149,420"
Conifer,Southern Piedmont Dry Pine Forest,"2,132,974"
Conifer,Mediterranean California Red Fir Forest,"2,042,178"
Conifer,Mediterranean California Lower Montane Conifer Forest and Woodland,"1,859,120"
Conifer,Laurentian-Acadian Northern Pine Forest,"1,795,350"
Conifer,Boreal Coniferous-Deciduous Woody Wetland,"1,775,116"
Conifer,California Lower Montane Foothill Pine Woodland and Savanna,"1,721,024"
Conifer,Appalachian Hemlock Forest,"1,692,404"
Conifer,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,"1,669,311"
Conifer,Atlantic Coastal Plain Upland Longleaf Pine Woodland,"1,661,439"
Conifer,Pacific Maritime Coniferous Woody Wetland,"1,656,957"
Conifer,North Pacific Seasonal Sitka Spruce Forest,"1,631,665"
Conifer,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,"1,618,798"
Conifer,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,"1,593,899"
Conifer,Recently Burned-Tree Cover,"1,578,505"
Conifer,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,"1,570,008"
Conifer,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,"1,380,684"
Conifer,Central Florida Pine Flatwoods,"1,347,747"
Conifer,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,"1,301,842"
Conifer,California Coastal Redwood Forest,"1,277,989"
Conifer,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,"1,241,328"
Conifer,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,"1,172,556"
Conifer,North Pacific Mountain Hemlock Forest,"1,133,753"
Conifer,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,"1,115,495"
Conifer,Rocky Mountain Foothill Limber Pine-Juniper Woodland,"930,189"
Conifer,Southern Rocky Mountain Juniper Woodland and Savanna,"773,235"
Conifer,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,"773,082"
Conifer,East Gulf Coastal Plain Near-Coast Pine Flatwoods,"769,847"
Conifer,Florida Longleaf Pine Sandhill,"628,450"
Conifer,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,"527,334"
Conifer,Northern California Mesic Subalpine Woodland,"524,384"
Conifer,Central Appalachian Dry Pine Forest,"515,961"
Conifer,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,"514,810"
Conifer,Northern Atlantic Coastal Plain Pitch Pine Barrens,"501,777"
Conifer,West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland,"479,922"
Conifer,Central Appalachian Pine Rocky Woodland,"463,528"
Conifer,South Florida Pine Flatwoods,"447,343"
Conifer,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,"437,969"
Conifer,Central and Southern California Mixed Evergreen Woodland,"401,540"
Conifer,Mediterranean California Subalpine Woodland,"371,026"
Conifer,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,"319,240"
Conifer,Alaskan Pacific Maritime Sitka Spruce Beach Ridge,"291,079"
Conifer,North Pacific Maritime Mesic Subalpine Parkland,"290,195"
Conifer,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,"257,419"
Conifer,Recently Disturbed Other-Tree Cover,"240,697"
Conifer,Northern Rocky Mountain Foothill Conifer Wooded Steppe,"235,256"
Conifer,Laurentian Pine Barrens,"229,142"
Conifer,Rocky Mountain Poor-Site Lodgepole Pine Forest,"223,621"
Conifer,East Cascades Ponderosa Pine Forest and Woodland,"220,836"
Conifer,North Pacific Mesic Western Hemlock-Yellow-cedar Forest,"202,408"
Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,"192,510"
Conifer,Central and Southern Appalachian Spruce-Fir Forest,"190,636"
Conifer,West Gulf Coastal Plain Pine Flatwoods,"186,415"
Conifer,Madrean Juniper Savanna,"168,174"
Conifer,Southern Appalachian Montane Pine Forest and Woodland,"166,984"
Conifer,Acadian Sub-Boreal Spruce Flat,"162,970"
Conifer,Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland,"142,832"
Conifer,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,"141,994"
Conifer,Pacific Maritime Forested Peatlands,"138,990"
Conifer,North Pacific Wooded Volcanic Flowage,"132,795"
Conifer,Northern Rocky Mountain Western Larch Savanna,"128,729"
Conifer,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,"122,351"
Conifer,Florida Peninsula Inland Scrub Woodland,"116,448"
Conifer,Southern Rocky Mountain Ponderosa Pine Savanna,"97,715"
Conifer,East Gulf Coastal Plain Interior Shortleaf Pine Forest,"67,801"
Conifer,Inter-Mountain Basins Juniper Savanna,"52,439"
Conifer,Northeastern Interior Pine Barrens,"40,370"
Conifer,California Coastal Closed-Cone Conifer Forest and Woodland,"34,164"
Conifer,East Gulf Coastal Plain Southern Loblolly Flatwoods,"28,990"
Conifer,Bastrop Lost Pines Forest and Woodland,"25,908"
Conifer,Southeastern Interior Longleaf Pine Woodland,"23,294"
Conifer,Acadian-Appalachian Subalpine Woodland,"22,203"
Conifer,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,"19,762"
Conifer,Northwestern Great Plains Highland White Spruce Woodland,"15,514"
Conifer,Mediterranean California Mesic Serpentine Woodland,"14,483"
Conifer,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,"14,106"
Conifer,Pacific Maritime Shrub Peatlands,"11,307"
Conifer,South Florida Pine Rockland,"7,370"
Conifer,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,"6,405"
Conifer,Laurentian Acidic Rocky Outcrop Woodland,"3,455"
Conifer,Acadian Sub-Boreal Spruce Barrens,"2,564"
Conifer,Klamath-Siskiyou Xeromorphic Serpentine Savanna,"1,790"
Conifer-Hardwood,Southeastern Native Ruderal Forest,"20,667,037"
Conifer-Hardwood,Northern & Central Native Ruderal Forest,"11,759,005"
Conifer-Hardwood,Appalachian (Hemlock)-Northern Hardwood Forest,"3,713,012"
Conifer-Hardwood,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,"3,449,618"
Conifer-Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,"3,423,440"
Conifer-Hardwood,Alaska Sub-boreal White Spruce Forest,"2,462,950"
Conifer-Hardwood,Southern Piedmont Dry Oak-(Pine) Forest,"2,105,121"
Conifer-Hardwood,Alaska Boreal White Spruce-Hardwood Forest,"1,746,298"
Conifer-Hardwood,Alaska Boreal Hardwood Forest,"1,695,807"
Conifer-Hardwood,Acadian-Appalachian Montane Spruce-Fir Forest,"1,652,488"
Conifer-Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,"1,366,172"
Conifer-Hardwood,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,"1,311,061"
Conifer-Hardwood,Madrean Encinal,"1,283,045"
Conifer-Hardwood,Central Appalachian Dry Oak-Pine Forest,"1,127,950"
Conifer-Hardwood,West Gulf Coastal Plain Pine-Hardwood Forest,"831,015"
Conifer-Hardwood,Alaska Sub-boreal White Spruce-Hardwood Forest,"800,646"
Conifer-Hardwood,Madrean Lower Montane Pine-Oak Forest and Woodland,"772,965"
Conifer-Hardwood,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,"664,236"
Conifer-Hardwood,Alaska Sub-boreal Hardwood Forest,"617,608"
Conifer-Hardwood,Central Appalachian Pine-Oak Rocky Woodland,"517,402"
Conifer-Hardwood,Edwards Plateau Dry-Mesic Slope Forest and Woodland,"467,583"
Conifer-Hardwood,North Pacific Lowland Mixed Hardwood-Conifer Forest,"448,563"
Conifer-Hardwood,Madrean Upper Montane Conifer-Oak Forest and Woodland,"256,333"
Conifer-Hardwood,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,"234,021"
Conifer-Hardwood,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,"226,811"
Conifer-Hardwood,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,"82,493"
Conifer-Hardwood,Central Interior Highlands Calcareous Glade and Barrens Woodland,"81,653"
Conifer-Hardwood,Llano Uplift Acidic Forest and Woodland,"81,055"
Conifer-Hardwood,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,"78,554"
