state,percentReplacement
Alabama,0.976593128
Arizona,0.782655372
Arkansas,1.472680978
California,0.809473699
Colorado,2.285399912
Connecticut,0.476784374
Delaware,2.083049659
District of Columbia,2.109094636
Florida,4.966245995
Georgia,0.707787395
Idaho,0.962717827
Illinois,14.30912926
Indiana,3.64461419
Iowa,13.77517899
Kansas,15.97618517
Kentucky,6.001583229
Louisiana,2.137019797
Maine,0.1211328
Maryland,3.513698528
Massachusetts,0.438802705
Michigan,0.46516889
Minnesota,6.04389508
Mississippi,0.532315862
Missouri,8.263626195
Montana,4.093724979
Nebraska,10.02097907
Nevada,0.5463811
New Hampshire,0.207461786
New Jersey,2.832395032
New Mexico,2.659763893
New York,0.207290503
North Carolina,0.887626439
North Dakota,9.502107795
Ohio,1.31806273
Oklahoma,15.2987128
Oregon,0.987797299
Pennsylvania,2.021224312
Rhode Island,0.642126943
South Carolina,0.715371857
South Dakota,8.925300595
Tennessee,4.843346249
Texas,8.847542126
Utah,0.519928149
Vermont,0.128867852
Virginia,1.01483203
Washington,0.897066446
West Virginia,1.191408748
Wisconsin,2.311936914
Wyoming,2.240327237
Grand Total,4.302843823
