GROUPVEG,BPS_NAME,Sum of ACRES
Conifer,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,"18,363,580"
Conifer,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,"15,820,191"
Conifer,Atlantic Coastal Plain Upland Longleaf Pine Woodland,"15,278,742"
Conifer,Colorado Plateau Pinyon-Juniper Woodland,"12,486,441"
Conifer,Western North American Boreal Mesic Black Spruce Forest - Boreal,"12,188,763"
Conifer,Southern Rocky Mountain Ponderosa Pine Woodland,"10,164,236"
Conifer,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,"9,547,225"
Conifer,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,"8,965,435"
Conifer,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,"8,673,114"
Conifer,Alaskan Pacific Maritime Western Hemlock Forest,"8,630,449"
Conifer,Mediterranean California Mesic Mixed Conifer Forest and Woodland,"7,126,398"
Conifer,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,"7,011,689"
Conifer,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,"6,623,253"
Conifer,Northern Rocky Mountain Subalpine Woodland and Parkland,"6,526,957"
Conifer,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,"6,432,575"
Conifer,Great Basin Pinyon-Juniper Woodland,"6,215,102"
Conifer,Western North American Boreal Treeline White Spruce Woodland - Boreal,"5,598,789"
Conifer,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,"5,522,920"
Conifer,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,"4,997,922"
Conifer,Edwards Plateau Limestone Shrubland,"4,969,941"
Conifer,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,"4,690,584"
Conifer,Boreal White Spruce-Fir-Hardwood Forest - Inland,"4,420,864"
Conifer,Southern Rocky Mountain Juniper Woodland and Savanna,"4,011,421"
Conifer,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,"3,921,536"
Conifer,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,"3,824,260"
Conifer,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,"3,669,967"
Conifer,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,"3,551,243"
Conifer,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,"3,507,810"
Conifer,Southern Rocky Mountain Ponderosa Pine Savanna,"3,423,558"
Conifer,Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch,"3,283,672"
Conifer,Florida Longleaf Pine Sandhill,"3,083,853"
Conifer,Madrean Pinyon-Juniper Woodland,"2,918,480"
Conifer,Laurentian Pine-Oak Barrens - Jack Pine,"2,825,573"
Conifer,North Pacific Mesic Western Hemlock-Silver Fir Forest,"2,755,254"
Conifer,California Coastal Redwood Forest,"2,691,214"
Conifer,Southern Rocky Mountain Pinyon-Juniper Woodland,"2,674,570"
Conifer,Madrean Encinal,"2,659,488"
Conifer,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,"2,574,197"
Conifer,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,"2,563,818"
Conifer,Alaskan Pacific Maritime Mountain Hemlock Forest - Southeast,"2,523,834"
Conifer,North Pacific Hypermaritime Sitka Spruce Forest,"2,432,996"
Conifer,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,"2,283,360"
Conifer,Mediterranean California Mixed Evergreen Forest - Interior,"2,183,876"
Conifer,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,"2,120,242"
Conifer,Rocky Mountain Lodgepole Pine Forest,"2,099,894"
Conifer,Western North American Boreal Mesic Black Spruce Forest - Alaska Sub-boreal,"2,093,822"
Conifer,Columbia Plateau Western Juniper Woodland and Savanna,"1,925,549"
Conifer,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna,"1,903,397"
Conifer,Alaskan Pacific Maritime Sitka Spruce Forest,"1,771,591"
Conifer,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,"1,655,221"
Conifer,Madrean Lower Montane Pine-Oak Forest and Woodland,"1,646,067"
Conifer,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,"1,631,763"
Conifer,South Florida Pine Flatwoods,"1,480,081"
Conifer,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,"1,461,004"
Conifer,Rocky Mountain Poor-Site Lodgepole Pine Forest,"1,413,866"
Conifer,Southern Appalachian Low-Elevation Pine Forest,"1,411,824"
Conifer,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland,"1,395,569"
Conifer,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,"1,372,134"
Conifer,Mediterranean California Red Fir Forest - Southern Sierra,"1,362,380"
Conifer,Boreal White Spruce-Fir-Hardwood Forest - Coastal,"1,299,321"
Conifer,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric,"1,250,341"
Conifer,Northern Atlantic Coastal Plain Pitch Pine Barrens,"1,223,251"
Conifer,Mediterranean California Mixed Evergreen Forest - Coastal,"1,083,305"
Conifer,Mediterranean California Red Fir Forest - Cascades,"1,059,657"
Conifer,Mediterranean California Red Fir Forest,"982,346"
Conifer,North Pacific Mountain Hemlock Forest - Wet,"859,042"
Conifer,North Pacific Mountain Hemlock Forest - Xeric,"858,629"
Conifer,Boreal Jack Pine-Black Spruce Forest,"785,100"
Conifer,East Cascades Oak-Ponderosa Pine Forest and Woodland,"721,908"
Conifer,Southeastern Interior Longleaf Pine Woodland,"667,664"
Conifer,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,"664,845"
Conifer,Southern Appalachian Montane Pine Forest and Woodland,"661,340"
Conifer,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,"654,901"
Conifer,Western North American Boreal Treeline White Spruce Woodland - Alaska Sub-boreal,"614,071"
Conifer,Central and Southern Appalachian Spruce-Fir Forest,"597,359"
Conifer,Mediterranean California Subalpine Woodland,"593,045"
Conifer,Rocky Mountain Foothill Limber Pine-Juniper Woodland,"533,166"
Conifer,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"530,432"
Conifer,Inter-Mountain Basins Juniper Savanna,"518,883"
Conifer,Alaskan Pacific Maritime Periglacial Woodland and Shrubland,"469,098"
Conifer,Northern Rocky Mountain Conifer Swamp,"454,128"
Conifer,Alaskan Pacific Maritime Mountain Hemlock Forest - Northern,"434,291"
Conifer,Madrean Juniper Savanna,"381,965"
Conifer,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,"376,101"
Conifer,East-Central Texas Plains Southern Pine Forest and Woodland,"352,027"
Conifer,Southern Rocky Mountain Ponderosa Pine Woodland - South,"320,013"
Conifer,Northeastern Interior Pine Barrens,"230,917"
Conifer,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,"219,300"
Conifer,Alaskan Pacific Maritime Floodplain Forest and Shrubland,"207,092"
Conifer,North Pacific Maritime Mesic Subalpine Parkland,"203,894"
Conifer,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,"199,964"
Conifer,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine,"186,177"
Conifer,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet,"161,994"
Conifer,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,"160,354"
Conifer,South Florida Pine Rockland,"156,098"
Conifer,Northern Rocky Mountain Foothill Conifer Wooded Steppe,"150,166"
Conifer,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna,"149,908"
Conifer,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,"144,264"
Conifer,Southern Rocky Mountain Ponderosa Pine Woodland - North,"132,212"
Conifer,Colorado Plateau Pinyon-Juniper Shrubland,"123,532"
Conifer,Alaskan Pacific Maritime Sitka Spruce Beach Ridge,"95,685"
Conifer,Boreal Aspen-Birch Forest,"92,014"
Conifer,Northwestern Great Plains Highland White Spruce Woodland,"91,392"
