state,currentTotalAcres,currentAverageAcres
Alabama,570510,"17,288"
Arizona,6732217,"204,007"
Arkansas,993110,"30,094"
California,15883836,"481,328"
Colorado,1879723,"56,961"
Delaware,1228,37
Florida,8887133,"269,307"
Georgia,1944988,"58,939"
Idaho,16389931,"496,665"
Illinois,15079,457
Indiana,25765,781
Iowa,7060,214
Kansas,12603752,"381,932"
Kentucky,1084090,"32,851"
Louisiana,922707,"27,961"
Maine,3434,104
Maryland,53373,"1,617"
Massachusetts,760,23
Michigan,138802,"4,206"
Minnesota,1305906,"39,573"
Mississippi,920251,"27,886"
Missouri,382432,"11,589"
Montana,8028755,"243,296"
Nebraska,726633,"22,019"
Nevada,11312020,"342,788"
New Jersey,170054,"5,153"
New Mexico,6095083,"184,699"
New York,34404,"1,043"
North Carolina,697977,"21,151"
North Dakota,250244,"7,583"
Ohio,4302,130
Oklahoma,4787480,"145,075"
Oregon,10718611,"324,806"
Pennsylvania,20689,627
Puerto Rico,12810,388
South Carolina,732448,"22,195"
South Dakota,1095812,"33,206"
Tennessee,311285,"9,433"
Texas,8147681,"246,899"
Utah,4522258,"137,038"
Virginia,264248,"8,008"
Washington,5639204,"170,885"
West Virginia,971340,"29,435"
Wisconsin,28188,854
Wyoming,4186345,"126,859"
(blank),388613,"11,776"
Grand Total,173636161,"5,261,702"
