groupveg,fire,acres,acreHndThou
Grassland,Surface,"4,086,387",40.86387
Grassland,Mixed,"3,781,499",37.81499
Grassland,Replacement,"70,802,040",708.0204
Hardwood,Surface,"26,187,948",261.87948
Hardwood,Mixed,"4,127,540",41.2754
Hardwood,Replacement,"7,315,001",73.15001
Conifer,Surface,"19,229,845",192.29845
Conifer,Mixed,"1,997,629",19.97629
Conifer,Replacement,"1,526,717",15.26717
Riparian,Surface,"10,216,260",102.1626
Riparian,Mixed,"705,342",7.05342
Riparian,Replacement,"3,252,754",32.52754
"Hardwood-
Conifer",Surface,"12,283,850",122.8385
"Hardwood-
Conifer",Mixed,"617,173",6.17173
"Hardwood-
Conifer",Replacement,"632,488",6.32488
Shrubland,Surface,"133,149",1.33149
Shrubland,Mixed,"191,529",1.91529
Shrubland,Replacement,"4,159,210",41.5921
Savanna,Surface,"189,158",1.89158
Savanna,Mixed,"30,438",0.30438
Savanna,Replacement,"40,313",0.40313
